0.0 -2.5 -0.75 # volume corner 1
3.5 2.5 0.75 # volume corner 2
0.1 # resolution
-4.009520493397644e-18 -0.06442335121931753 -0.02278355005892879
-4.179245838287215e-18 -0.06668022018436026 -0.02014849175110498
-4.293687627665576e-18 -0.0686422581075089 -0.01733792530856134
-4.5454529029598235e-18 -0.0702948841697738 -0.014380704881725544
-4.193556613074634e-18 -0.07162743354783294 -0.011305201124025686
-4.7344794751325024e-18 -0.07263242234731154 -0.008138985747960376
-4.651656837495465e-18 -0.0733048803932547 -0.004908758390526246
-4.681599552469606e-18 -0.07364181039273614 -0.0016404628885276877
-4.435030120930605e-18 -0.0736418103927362 0.001640462888527687
-4.571465428426791e-18 -0.07330488039325465 0.004908758390526237
-4.307310064177727e-18 -0.07263242234731153 0.00813898574796036
-4.575628764769135e-18 -0.0716274335478329 0.011305201124025714
-4.589983948477538e-18 -0.07029488416977378 0.014380704881725546
-4.4952430666711506e-18 -0.06864225810750889 0.01733792530856134
-4.159000921433176e-18 -0.0666802201843602 0.020148491751105
-4.234967931893152e-18 -0.0703095356510165 -0.025321963387670555
-4.316713653196302e-18 -0.0728304643600982 -0.02238064156056814
-4.3558157081236e-18 -0.07501519394918786 -0.019247206215933066
-4.682187970672658e-18 -0.07685006435225594 -0.015955137837623465
-4.7823411897240926e-18 -0.07832581872349995 -0.012536506687229948
-4.939648690083232e-18 -0.07943651298605837 -0.009021718325612127
-4.662115138387435e-18 -0.08017856723104178 -0.005439577441341394
-4.8092974047619915e-18 -0.08055002025770551 -0.0018175878580591492
-4.923295104930503e-18 -0.0805500202577055 0.0018175878580591492
-4.806055553530086e-18 -0.08017856723104179 0.005439577441341392
-4.761546712472864e-18 -0.07943651298605837 0.00902171832561214
-4.690714483501778e-18 -0.07832581872349995 0.01253650668722997
-4.67818006555376e-18 -0.076850064352256 0.015955137837623465
-4.866362868227725e-18 -0.07501519394918787 0.01924720621593306
-4.435651845824395e-18 -0.07283046436009817 0.02238064156056814
-4.4810044563803326e-18 -0.07687201288621694 -0.028159012467741645
-4.609090886731337e-18 -0.07968058431848803 -0.024866220438267132
-4.509748130487878e-18 -0.0821047745589743 -0.02136590274697902
-4.899458616591801e-18 -0.0841332641343469 -0.017696859258590863
-4.7486015120057345e-18 -0.08575954826501604 -0.013895097083777072
-4.905631456608716e-18 -0.08698037932507292 -0.009993729939184811
-4.952627197241099e-18 -0.08779447076047385 -0.00602327427488715
-5.183165008304513e-18 -0.0882015121682579 -0.0020122204801035163
-5.240086142777045e-18 -0.08820151216825785 0.0020122204801035267
-5.036970840421873e-18 -0.08779447076047374 0.006023274274887149
-4.862044100661933e-18 -0.08698037932507294 0.00999372993918483
-5.102973599235838e-18 -0.08575954826501603 0.013895097083777085
-4.704947542677473e-18 -0.0841332641343469 0.01769685925859087
-4.749844961793314e-18 -0.0821047745589743 0.021365902746979016
-4.6152526245180066e-18 -0.079680584318488 0.024866220438267136
-4.718980761708735e-18 -0.0842022234266278 -0.03132141565032107
