0.0 -2.5 -0.75 # volume corner 1
3.5 2.5 0.75 # volume corner 2
0.1 # resolution
-0.005678726323306887 -7.809461521901539e-16 -1.7469119484303519e-16
-0.0005418719060149703 4.908713435725076e-17 1.703938323771581e-16
-0.00037896654223373307 5.194067398406332e-17 2.968135959235951e-16
-0.0005393659965994198 -5.854872142663225e-18 9.140421752817928e-17
-0.0005645412978083875 -1.244274017153657e-16 -4.3200998334214086e-18
-0.00047937190106581655 -2.7088731258118057e-17 -9.058567229658365e-17
-0.0003181961469036618 -1.1661427379294764e-17 -2.263277565361932e-16
-0.00011116111337400433 2.106048668792937e-18 -2.806700649671256e-16
0.0001111611133741926 1.3646683783008484e-17 2.53612597589381e-16
0.00031819614690406663 -1.8189183492722804e-17 2.4783730623312295e-16
0.00047937190106609584 2.6506086214794778e-17 -1.5916157281026243e-17
0.0005645412978077513 -8.96392293725512e-17 1.1691554391290993e-16
0.0005393659965992394 1.1613110473263076e-17 3.569766704458743e-17
0.0003789665422343593 9.632117325963917e-17 -1.697117113508284e-16
0.0005418719060153416 1.0305711839464492e-17 -1.3983481039758771e-16
-0.03260502248402418 -1.9817605334537802e-16 -3.7130121199879793e-16
-0.007496681652913411 -3.383320290595293e-16 2.9390321287792173e-16
-0.0021649035889044536 -1.865601007011719e-17 -1.2751115718856453e-16
-0.0013143025897870493 -9.110863175010308e-17 3.7121026252862064e-16
-0.0010900047259577465 -9.156906344287563e-17 6.107256922405212e-17
-0.0008547925172921983 4.173443812760524e-17 7.403286872431636e-17
-0.0005461580006934862 5.32196509084315e-17 1.000444171950221e-17
-0.0001874860266466943 1.1476686267997138e-17 2.862179826479405e-16
0.00018748602664597164 4.392575192468939e-18 -2.683918864931911e-16
0.0005461580006932581 1.992646048165625e-17 2.546585164964199e-17
0.000854792517292308 -8.483880264975596e-18 -6.957634468562901e-17
0.0010900047259573863 -5.2813220463576725e-17 -1.2596501619555057e-16
0.0013143025897876866 -3.8215830500121224e-17 -4.319190338719636e-16
0.002164903588904379 9.454197424929588e-17 -2.610249794088304e-17
0.007496681652913193 -3.8574512473132926e-16 -9.772520570550114e-17
-0.4009054227139711 -1.9066419554292224e-16 5.130232239025644e-16
-0.03271879834511024 5.1943516155006363e-17 3.557943273335695e-16
-0.0035930965558953654 1.8659989109437447e-16 6.694335752399638e-16
-0.0019603060887111432 -9.442828741157426e-17 2.3146640160121022e-17
-0.0017126845093649757 -1.6137846614583393e-17 -4.743014869745821e-17
-0.0013411495619542464 -3.7539393815677613e-17 -5.147740012034774e-16
-0.000840942748849099 1.0740563993749674e-17 2.8185240807943046e-16
-0.000284720068716469 1.2278178473934531e-18 -3.2669049687683583e-16
